dataset,model,variant,duplicate_box_rate,mean_tiles_per_image,mean_dets_per_image_raw,mean_dets_per_image_merged,boundary_fp_rate_of_fps,boundary_fp_rate_of_dets,near_seam_fraction,near_seam_fp,total_fp
dota,yolo11m_dota,tile1024_ov10,0.3572447436738653,10.674672489082969,306.1397379912664,196.77292576419214,0.5588756158032006,0.1925944830341093,0.5132930915869599,17357,31057
dota,yolo11m_dota,tile1024_ov20,0.4177986841687061,11.62227074235808,343.4825327510917,199.9759825327511,0.8781601341698242,0.30871611219687956,0.8308530500387601,28275,32198
dota,yolo11m_dota,tile512_ov10,0.26292005524014117,36.995633187772924,284.585152838428,209.76200873362444,0.6535246512618464,0.2555297644450458,0.5762613067418888,24549,37564
dota,yolo11m_dota,tile512_ov20,0.3706851073837021,44.71615720524017,343.5218340611354,216.18340611353713,0.9218913661529253,0.3733486850078778,0.8989617420110694,36966,40098
dota,yolo11m_dota,tile640_ov10,0.2942085471126471,23.768558951965066,286.825327510917,202.43886462882097,0.6404234107436078,0.23556629312855248,0.5641252413257547,21841,34104
dota,yolo11m_dota,tile640_ov20,0.4002736914129319,29.096069868995635,344.63318777292574,206.68558951965065,0.9165781677938628,0.34646426232279054,0.8853922376455178,32797,35782
dota,yolo26m_dota,tile1024_ov10,0.37133834258956766,10.674672489082969,300.7532751091703,189.07205240174673,0.5582645216400911,0.18113055026271724,0.5115422368497027,15685,28096
dota,yolo26m_dota,tile1024_ov20,0.43004173904026133,11.62227074235808,336.882096069869,192.00873362445415,0.8793192367199587,0.29082328860586765,0.8292130998408005,25575,29085
dota,yolo26m_dota,tile512_ov10,0.2776975158723341,36.995633187772924,279.59170305676855,201.94978165938863,0.6614960858219774,0.24666731536440595,0.5762706366968311,22815,34490
dota,yolo26m_dota,tile512_ov20,0.38235065641264665,44.71615720524017,337.28384279475983,208.3231441048035,0.9228210790327418,0.3547771768750262,0.8981993879176623,33850,36681
dota,yolo26m_dota,tile640_ov10,0.3071582271622521,23.768558951965066,282.0829694323144,195.43886462882097,0.6432739214998565,0.22539129269028388,0.5638301437812112,20175,31363
dota,yolo26m_dota,tile640_ov20,0.4124748101069602,29.096069868995635,338.04366812227073,198.60917030567686,0.9175172159370388,0.32810043644119036,0.883930829018392,29845,32528
dota,yolov8m_dota,tile1024_ov10,0.35582204858561234,10.674672489082969,297.31877729257644,191.52620087336246,0.5631064745818845,0.19383485903852074,0.5144267490509468,17003,30195
dota,yolov8m_dota,tile1024_ov20,0.41762369510968267,11.62227074235808,334.2314410480349,194.64847161572052,0.8778814401590203,0.3071487060987784,0.8292409337177086,27382,31191
dota,yolov8m_dota,tile512_ov10,0.26103618018188857,36.995633187772924,276.3340611353712,204.2008733624454,0.6572612961171757,0.2542983619177965,0.577370514520337,23783,36185
dota,yolov8m_dota,tile512_ov20,0.3688055680580289,44.71615720524017,334.7227074235808,211.27510917030568,0.9217056254816337,0.37081972634450827,0.898546980281923,35882,38930
dota,yolov8m_dota,tile640_ov10,0.2930120106067696,23.768558951965066,279.95633187772927,197.92576419213975,0.6391867135177344,0.23478212906784335,0.5642581356867071,21283,33297
dota,yolov8m_dota,tile640_ov20,0.398923904688701,29.096069868995635,335.1921397379913,201.4759825327511,0.9150234606638072,0.34447743725345703,0.8841627292036933,31787,34739
