dataset,model,variant,duplicate_box_rate,mean_tiles_per_image,mean_dets_per_image_raw,mean_dets_per_image_merged,boundary_fp_rate_of_fps,boundary_fp_rate_of_dets,near_seam_fraction,near_seam_fp,total_fp
ships,yolo11m_ships,tile512_ov10,0.38542131074453856,1.702540415704388,2.072055427251732,1.2734411085450346,0.16123019571295433,0.0627493652520856,0.12586144359811388,173,1073
ships,yolo11m_ships,tile512_ov20,0.3852823477100934,1.7057736720554273,2.077598152424942,1.2771362586605082,0.24491682070240295,0.09584086799276673,0.2007233273056058,265,1082
ships,yolo11m_ships,tile640_ov20,0.12542688606022975,1.2392609699769053,1.4877598152424942,1.3011547344110854,0.1501937984496124,0.055023074192403265,0.07135250266240682,155,1032
ships,yolo26m_ships,tile512_ov10,0.36763645106996873,1.702540415704388,1.921016166281755,1.2147806004618937,0.13513513513513514,0.04752851711026616,0.10456273764258556,125,925
ships,yolo26m_ships,tile512_ov20,0.367195004803074,1.7057736720554273,1.923325635103926,1.2170900692840647,0.1860215053763441,0.06565464895635674,0.16394686907020872,173,930
ships,yolo26m_ships,tile640_ov20,0.09776902887139108,1.2392609699769053,1.407852193995381,1.2702078521939955,0.10423452768729642,0.03490909090909091,0.04654545454545454,96,921
ships,yolov8m_ships,tile512_ov10,0.37368297822524,1.702540415704388,1.9727482678983834,1.2355658198614319,0.16224188790560473,0.0616822429906542,0.12560747663551403,165,1017
ships,yolov8m_ships,tile512_ov20,0.3737727910238429,1.7057736720554273,1.9759815242494225,1.2374133949191686,0.23408423114593535,0.08921239268383725,0.19671519223590891,239,1021
ships,yolov8m_ships,tile640_ov20,0.11529490169943352,1.2392609699769053,1.3861431870669747,1.2263279445727482,0.15052631578947367,0.05386064030131827,0.07080979284369116,143,950
