dataset,model,variant,mode,tiles_per_image,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,fps,image_count,iterations,sweep_order,concurrent_util_median_pct
dota,yolov8m_dota,native640,native,1.0,20.98490701522678,11.633283194017318,15.876690624281764,46.39040447073057,47.65329668958712,100,100,interleaved,0.0
dota,yolov8m_dota,native1024,native,1.0,32.88357720011845,10.531894913116494,29.191497014835477,49.11251810844986,30.4103167947433,100,100,interleaved,0.0
dota,yolov8m_dota,native1536,native,1.0,53.8721056166105,11.426952007769065,55.00751896761358,69.74539270158857,18.562482170581205,100,100,interleaved,0.0
dota,yolov8m_dota,tile512_ov10,sliced,41.58,700.10051749181,2618.193153420966,140.0400724960491,1097.2698759869666,1.4283663202858556,100,100,interleaved,0.0
dota,yolov8m_dota,tile512_ov20,sliced,49.92,845.9837101330049,3326.9565765127077,143.39223294518888,1352.1130912820804,1.1820558576036657,100,100,interleaved,0.0
dota,yolov8m_dota,tile640_ov10,sliced,26.44,698.5259501915425,2656.737178170576,125.74650649912655,902.4604234378778,1.431586041614904,100,100,interleaved,0.0
dota,yolov8m_dota,tile640_ov20,sliced,32.51,826.2812401261181,3092.017407358975,150.0787476543337,1101.9470348837779,1.2102416845956308,100,100,interleaved,0.0
dota,yolov8m_dota,tile1024_ov10,sliced,12.02,737.5939974118955,2505.0141743229187,143.039180082269,1127.319968992378,1.3557594062707221,100,100,interleaved,0.0
dota,yolov8m_dota,tile1024_ov20,sliced,13,850.5602043308318,3183.6824414777157,145.6176550127566,1230.6471217889332,1.175695729600632,100,100,interleaved,0.0
dota,yolo11m_dota,native640,native,1.0,21.389268222264946,11.1525553677804,16.989798052236438,49.33717984240502,46.75241759599143,100,100,interleaved,0.0
dota,yolo11m_dota,native1024,native,1.0,34.309562284033746,21.713443490115985,30.367732979357243,54.40927695017307,29.14639340838687,100,100,interleaved,0.0
dota,yolo11m_dota,native1536,native,1.0,59.48270821943879,22.530986743881126,58.76813910435885,105.08963809115811,16.811608447801014,100,100,interleaved,0.0
dota,yolo11m_dota,tile512_ov10,sliced,41.58,732.6773627940565,2669.8924818411997,147.26910495664924,1170.1500264229253,1.3648572356412265,100,100,interleaved,0.0
dota,yolo11m_dota,tile512_ov20,sliced,49.92,885.9903697995469,3398.2647731350485,156.9225984858349,1185.54692917969,1.1286804395246954,100,100,interleaved,0.0
dota,yolo11m_dota,tile640_ov10,sliced,26.44,726.8819259130396,2703.5529763487857,136.97998051065952,1073.9574416889807,1.3757392560612862,100,100,interleaved,0.0
dota,yolo11m_dota,tile640_ov20,sliced,32.51,864.6097116102464,3168.691702619729,162.1738594258204,1197.7241088869043,1.1565912186408398,100,100,interleaved,0.0
dota,yolo11m_dota,tile1024_ov10,sliced,12.02,750.0054687727243,2577.2056170097917,159.2368179699406,1050.6994670373383,1.3333236111416036,100,100,interleaved,0.0
dota,yolo11m_dota,tile1024_ov20,sliced,13,864.6817068010569,3270.815982821249,162.0501410216093,1191.1480267881411,1.156494918459142,100,100,interleaved,0.0
dota,yolo26m_dota,native640,native,1.0,21.959145597647876,12.458151030217559,17.91868289001286,51.413028372917324,45.5391124191605,100,100,interleaved,0.0
dota,yolo26m_dota,native1024,native,1.0,32.06390821840614,11.596429378405693,29.6902070986107,58.89685589354485,31.187714023768148,100,100,interleaved,0.0
dota,yolo26m_dota,native1536,native,1.0,61.53490405762568,34.421463897770025,59.31424745358527,80.35746813984584,16.250939451592036,100,100,interleaved,0.0
dota,yolo26m_dota,tile512_ov10,sliced,41.58,708.2846425892785,2609.964547865131,138.3533439366147,975.2073243143964,1.4118617570815832,100,100,interleaved,0.0
dota,yolo26m_dota,tile512_ov20,sliced,49.92,863.533763687592,3305.3077921391887,145.75272554066032,1402.7608023490754,1.1580323110119624,100,100,interleaved,0.0
dota,yolo26m_dota,tile640_ov10,sliced,26.44,715.1476945681497,2697.687884232163,131.22426043264568,932.3385019204574,1.398312555008461,100,100,interleaved,0.0
dota,yolo26m_dota,tile640_ov20,sliced,32.51,847.5361178442836,3131.807695602534,160.35134752746671,1183.108005486428,1.1798907196350639,100,100,interleaved,0.0
dota,yolo26m_dota,tile1024_ov10,sliced,12.02,739.8389538587071,2532.2113573178904,153.02458498626947,1068.0267198244105,1.3516455098564302,100,100,interleaved,0.0
dota,yolo26m_dota,tile1024_ov20,sliced,13,840.8434837777168,3157.09872101866,154.07760452944785,1206.722731713671,1.1892819761261983,100,100,interleaved,0.0
